Customer_ID,Full_Name,Address,Email,Phone
1,John Doe,123 Maple Street,johndoe@example.com,555-1234
2,Jane Smith,456 Oak Avenue,janesmith@example.com,555-5678
3,Michael Johnson,789 Pine Road,michaelj@example.com,555-9012
4,Emily Davis,321 Birch Lane,emilyd@example.com,555-3456
5,William Brown,654 Cedar Street,aiswarya180@gmail.com,555-7890
6,Olivia Wilson,987 Spruce Avenue,oliviaw@example.com,555-2345
7,James Taylor,246 Elm Road,jamest@example.com,555-6789
8,Sophia Martinez,135 Walnut Street,sophiam@example.com,555-1122
9,Liam Anderson,246 Chestnut Avenue,liama@example.com,555-3344
10,Emma Thomas,357 Poplar Road,emmat@example.com,555-5566
11,Noah White,468 Fir Lane,noahw@example.com,555-7788
